name,macro_gdp_pc_pp,macro_pop,macro_urbanization_rate,macro_prepare_scaleup,macro_borrow_abi,macro_avg_prod_k,macro_T_rebuild_K,macro_pi,macro_income_elast,macro_rho,macro_shareable,macro_max_increased_spending,macro_fa_glofris,macro_protection,macro_tau_tax,n_cat_info__nonpoor,n_cat_info__poor,c_cat_info__nonpoor,c_cat_info__poor,axfin_cat_info__nonpoor,axfin_cat_info__poor,gamma_SP_cat_info__nonpoor,gamma_SP_cat_info__poor,k_cat_info__nonpoor,k_cat_info__poor,fa_cat_info__nonpoor,fa_cat_info__poor,v_cat_info__nonpoor,v_cat_info__poor,shew_cat_info__nonpoor,shew_cat_info__poor,shew_for_hazard_ratio,hazard_ratio_fa__earthquake,hazard_ratio_fa__flood,hazard_ratio_fa__surge,hazard_ratio_fa__tsunami,hazard_ratio_fa__wind,hazard_ratio_flood_poor,ratio_surge_flood,risk,resilience,risk_to_assets,id
Czech Republic,28124.4644802821,10514272,0.72992,0.6666666667,0.9,0.2397998316,3,0.2,1.5,0.06,0.8,0.05,0.0690777074,1,0.4459824503,0.8,0.2,31875.5649303397,13120.0626800516,0.4178777,0.2615189,1.1438830646,0.4244677417,131933.625634837,58680.9318680902,0.0089810023,0.0097698472,0.4135,0.7,0.8,0.8,1,0.0003380492,0.0007393987,0,0,0,0.0008176641,0,0.0023093154,0.750148441,0.0017323294,CZE
Denmark,42482.7324552521,5614932,0.87676,0.7333333333,0.9166666667,0.230106064,3,0.2,1.5,0.06,0.8,0.05,0.0060722263,1,0.3830284112,0.8,0.2,48255.0737276095,19393.3673658226,0.6474435,0.4418966,1.0483422222,0.8066311111,219740.733289902,44149.0377217701,0.0004073094,0.0004504231,0.25,0.3,0.64,0.64,0.8,0,5.61143411905066E-005,0,0,0,0.000062054,0,6.43407908029944E-005,0.8083856008,5.20121688268891E-005,DNK
Djibouti,2902.5462446953,872932,0.77343,0.6,0.25,0.2605986207,3,0.2,1.5,0.06,0.8,0.05,0.0061696761,1,0.097724969,0.8,0.2,3409.4033826752,875.1176927756,0.04367659,0.01797438,1.0295091502,0.8819633992,13258.0285054077,2657.8631010912,0.0240577432,0.0241072662,0.2919383716,0.6224866506,0.48,0.48,0.6,0.0019936215,0.0001455946,0,0,0,0.0001610058,0,0.0042212791,0.5938713123,0.0025068965,DJI
Dominican Republic,11795.4705790204,10403761,0.7898,0.6,0.5083333333,0.3771503991,3,0.2,1.5,0.06,0.8,0.05,0.0348497371,1,0.121321382,0.8,0.2,14005.6468787643,2954.7653800446,0.2295297,0.05700692,1.15102186,0.39591256,37292.4243090328,7206.5204149191,0.1025338278,0.1016749971,0.3,0.3489973692,0.64,0.64,0.8,0.0059506261,0.0014359396,0.0006628048,0,0.0083266572,0.0013758313,0.4615826347,0.0184700316,0.6380169199,0.0117841927,DOM
Ecuador,10540.6573666533,15737878,0.63742,0.8,0.4583333333,0.2574734718,3,0.2,1.5,0.06,0.8,0.05,0.0692559607,1,0.1781882883,0.8,0.2,12609.261374859,2266.2413338305,0.1769659,0.09387966,1.1657520576,0.3369917695,49243.765807531,7718.9833638201,0.0235760736,0.0251179607,0.6764212742,0.7,0.48,0.48,0.6,0.006520975,0.0009327455,0,1.16962541242571E-005,0,0.0012195622,0,0.0292992879,0.6609815312,0.0193662882,ECU
"Egypt, Arab Rep.",10733.4887228128,82056378,0.43135,0.6666666667,0.4583333333,0.4927783419,3,0.2,1.5,0.06,0.8,0.05,0.2004021135,1,0.1175081101,0.8,0.2,12175.8012699408,4964.2385343009,0.01016893,0.002091735,1.1514730056,0.3941079776,24658.8851119276,10272.3377050071,0.0063873515,0.0102717511,0.55,0.7,0.48,0.48,0.6,0.0005083408,0.0002093309,0,2.44831179614522E-005,0,0.0005073799,0,0.0014751011,0.578037,0.000852663,EGY
El Salvador,7515.0826563776,6340454,0.66726,0.6666666667,0.5083333333,0.1342435753,3,0.2,1.5,0.06,0.8,0.05,0.0089971718,1,0.1777682322,0.8,0.2,8858.4036812051,2141.7985570676,0.1816167,0.04984934,1.1761358886,0.2954564455,66019.1819826094,15828.0138473248,0.0216843148,0.0223534832,0.44,0.7,0.48,0.48,0.6,0.0076906908,0.0003023749,0,0,0,0.0004338102,0,0.0414774155,0.6505919921,0.0269848744,SLV
Estonia,25253.7672011471,1317997,0.67538,0,0.4,0.2800603916,3,0.2,1.5,0.06,0.8,0.05,0.0182062093,1,0.3611234592,0.8,0.2,29303.8401160311,9053.4755416112,0.3582999,0.1892857,1.1213119782,0.5147520871,106625.039771,24362.7254734676,0.0157047918,0.016387745,0.1259775921,0.4342145962,0,0,0,9.24544817997857E-005,0.0044373829,0,0,0,0.0046473545,0,0.0038729533,0.6002178371,0.0023246157,EST
France,37216.8018998205,65939866,0.7952,0.7333333333,0.95,0.2234491797,3,0.2,1.5,0.06,0.8,0.05,0.071401443,1,0.3854494485,0.8,0.2,42887.7120893057,14533.1611418799,0.5575402,0.4022605,1.1242760884,0.5028956463,194870.320158634,53298.7264751576,0.0181893027,0.0197180817,0.2395,0.57,0.8,0.8,1,0.0002733977,0.0010093283,0.0001635234,1.00494054226367E-007,0.000348779,0.0011161656,0.1620121459,0.0024493677,0.7165950794,0.0017552048,FRA
Gabon,18646.3698144321,1671711,0.87156,0.5333333333,0.5916666667,0.3299123736,3,0.2,1.5,0.06,0.8,0.05,0.0939623484,1,0.1274651085,0.8,0.2,21942.115679133,5463.3863556286,0.1312962,0.01964613,1.1230905454,0.5076378183,66951.9677238041,14787.9228186429,0.0265707214,0.0550084602,0.3269905141,0.7,0.16,0.16,0.2,6.91302884900625E-005,0.0058049275,0,0,0,0.0121761895,0,0.0155172009,0.4256437035,0.0066047989,GAB
