name,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,gdp_pc_pp_nat,v_p,v_r,fap,far,protection,avg_prod_k,T_rebuild_K,pi,sigma_r,sigma_p,income_elast,rho,v_s,protectionref,dK,delta_W,dcap,dcar,dKtot,dWpc_curency,dWtot_currency,risk,resilience,risk_to_assets,id
South Cotabato,333099,74.96092005,246.6148765,0.2576226,202.392938,0.0987,0.2463,0.110900648,0.178567512,234.6025772,0.26063055,0.155459086,0.005,0.005,6.51,0.23,3,0.2,0,0,1.5,0.15,0.152010983,6.51,0.70903503,2.10E-05,71.83043126,134.0324845,36279.39469,0.159691853,53193.19654,0.000789019,0.68203073,0.000538135,south_cotabato
Southern Leyte,93675,75.36102562,220.1996046,0.3404328,170.8918016,0.0134,0.0955,0.16420904,0.271323726,234.6025772,0.202182502,0.137361819,0.023869369,0.018380373,1,0.23,3,0.2,0,0,1.5,0.15,0.132850609,1,2.069960196,8.20E-05,54.48080428,93.31448115,193903.5214,3.152184764,295280.9078,0.0184455,0.656674767,0.012112695,southern_leyte
Sultan Kudarat,183454,66.53105723,167.6261832,0.4037797,126.8060235,0.0703,0.1146,0.11708966,0.255254281,234.6025772,0.279118461,0.175768658,0.01065826,0.007960169,7.14,0.23,3,0.2,0,0,1.5,0.15,0.171652519,7.14,0.93323807,6.01E-05,69.71314774,93.42335864,23978.46736,0.207066129,37987.10968,0.001632936,0.631226423,0.001030752,sultan_kudarat
Sulu,127630,106.9819253,151.709506,0.4017729,133.7391762,0.0782,0.1187,0.024538188,0.026018456,234.6025772,0.280778307,0.265378117,0.03500512,0.028028012,1,0.23,3,0.2,0,0,1.5,0.15,0.264075738,1,4.713763634,0.000229057,124.4762928,169.7810571,601617.6526,6.098094909,778299.8532,0.045596923,0.772989549,0.035245945,sulu
Surigao del Norte,128923,89.81637898,215.7143834,0.3383435,173.117612,0.0431,0.0888,0.163543101,0.196582523,234.6025772,0.268755158,0.185302807,0.03500512,0.028028012,1,0.23,3,0.2,0,0,1.5,0.15,0.179241807,1,4.338484601,0.000159687,86.62733051,135.9878387,559330.4502,6.261013808,807188.6832,0.036166244,0.692936437,0.025060908,surigao_del_norte
Surigao del Sur,120055,88.14276443,228.649587,0.2829407,188.8944883,0.1594,0.1314,0.181778685,0.25367653,234.6025772,0.251052461,0.180356272,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.173799287,6.800140845,4.400333462,0.000138754,77.07696093,130.1773755,77686.92529,0.91184425,109471.4614,0.004827268,0.709654592,0.003425693,surigao_del_sur
Tarlac,296663,82.28988393,283.9269578,0.1354197,256.6213258,0.0693,0.1604,0.117968364,0.266548426,234.6025772,0.187990989,0.124954676,0.005,0.005,10.72,0.23,3,0.2,0,0,1.5,0.15,0.122006537,10.72,0.695164463,1.26E-05,57.44735785,110.6679258,19237.8335,0.083109358,24655.47141,0.00032386,0.780266302,0.000252697,tarlac
Tawi-tawi,66077,112.3065754,189.7559148,0.2194188,172.7620737,0.1840,0.0714,0.019544655,0.061197529,234.6025772,0.126408718,0.159309991,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.158687259,6.800140845,3.331627825,9.97E-05,59.70642863,123.1335851,32373.44297,0.573327559,37883.76511,0.003318596,0.854546608,0.002835895,tawi-tawi
Zambales,184359,94.39390879,202.153693,0.1206655,189.1508048,0.0000,0.0836,0.17292504,0.213778645,234.6025772,0.215890497,0.126452228,0.013158047,0.011114917,1,0.23,3,0.2,0,0,1.5,0.15,0.122078876,1,1.187032452,3.31E-05,72.16968957,84.61546703,218840.1158,1.482431054,273299.5066,0.007837297,0.800733666,0.006275588,zambales
Zamboanga del Norte,217100,60.66495369,194.5781438,0.4796748,130.3433611,0.1019,0.1989,0.166854684,0.18450005,234.6025772,0.264035223,0.165919372,0.03500512,0.028028012,1,0.23,3,0.2,0,0,1.5,0.15,0.160382487,1,3.101585985,0.000202348,55.96048106,111.3505366,673354.3174,5.183173496,1125266.966,0.039765535,0.59839517,0.023795504,zamboanga_del_norte
Zamboanga del Sur,402612,79.30394036,213.1819282,0.2586444,178.5551363,0.1376,0.1666,0.197583376,0.189555849,234.6025772,0.288167056,0.190818921,0.03500512,0.028028012,15.31,0.23,3,0.2,0,0,1.5,0.15,0.183278392,15.31,4.399444957,0.000155107,77.50910081,138.5781114,115693.6207,0.416080749,167519.1023,0.002330265,0.690629422,0.001609349,zamboanga_del_sur
Zamboanga Sibugay,129797,76.4925075,198.9482108,0.3701923,153.6160524,0.1094,0.1687,0.185231117,0.161498855,234.6025772,0.319917415,0.19056958,0.008905187,0.006799459,1,0.23,3,0.2,0,0,1.5,0.15,0.183509696,1,1.018670997,4.93E-05,83.8639645,133.2733333,132220.4393,1.614254464,209525.3866,0.010508371,0.631047347,0.00663128,zamboanga_sibugay
