name,id,H,T_rebuild_K,T_rebuild_L,alpha,avg_prod_k,axfin_p,axfin_r,axhealth,bashs,borrow_abi,cp,cr,dC_destitution,dKpc,dKtot,dW_destitution,dW_no_transfers,dW_noupscale,dWsurWprime,delta_W,destitution_exposure,equivalent_cost,fa,fap,far,faref,finance_pre,gdp_pc_pp,income_elast,individual_exposure,institutional_exposure,iso3,macro_multiplier,ophe,original_country,pe,peref,pi,plgp,pop,pov_head,prepare_scaleup,protection,protectionref,pv,rating,resilience,resilience_no_shock,resilience_no_shock_no_SP,resilience_no_shock_no_uspcale,rho,risk,risk_to_assets,rp,share1,share1_ref,shew,sigma_p,sigma_r,social_p,social_r,tot_p,tot_r,total_equivalent_cost,total_equivalent_cost_no_destitution,total_equivalent_cost_of_destitution,unemp,v,v_p,v_r,v_s,v_shew
France,FRA,0.53565,3,40,1,0.22345,0.40226,0.55754,0.96301,1,0.95833,14533.16114,42887.71209,297988.7621,12.1638,802079303.60081,0,0,0,16.19818,0,0.00001,16.21991,0.07301,0.08528,0.06995,0.0714,1,37216.8019,1.5,0.00013,0.04754,FRA,1.16541,0.07399,France,0.16797,0.16797,0.2,0.99838,65939866,0.2,0.73333,122.61,122.61,2.05097,0.91667,0.74993,0.75094,0.46262,0.6375,0.05,0.00044,0.00033,430.86422,0.0781,0.0781,1,0.42292,0.42292,0.49639,0.37605,0.70938,0.63993,1069538539.08226,1068105556.14527,1432982.93699,0.104,0.15733,0.384,0.0992,0.124,0.12586
Gabon,GAB,0.53565,3,40,1,0.32991,0.01965,0.1313,0.752,0.893,0.19167,5463.38636,21942.11568,149298.39145,53.11979,88800939.81844,0,0,0,159.27586,0,0.0017,181.26083,0.08425,0.14491,0.06908,0.09396,0,18646.36981,1.5,0.00605,0.28197,GAB,1.26694,0.38901,Gabon,0.72,0.72,0.2,0.59809,1671711,0.2,0,16.85,16.85,1.92499,0.38333,0.29306,0.33351,0.27443,0.32365,0.05,0.00972,0.00285,91.27429,0.0586,0.0586,0,0.04792,0.04792,0.22084,0.12165,0.25817,0.16374,303015730.22865,266263200.88546,36752529.34319,0.196,0.21539,0.63,0.16125,0.16125,0.21539
Georgia,GEO,0.53565,3,40,1,0.36327,0.00157,0.01638,0.68946,0.998,0.6,1829.59692,8205.46499,55489.69401,9.45893,42444131.59845,0,0,0,11.89866,0,0,11.9074,0.08343,0.09745,0.07993,0.08372,0.8,6930.29138,1.5,0.00002,0.15178,GEO,1.29875,0.61907,Georgia,0.16797,0.16797,0.2,0.9982,4487200,0.2,0.66667,23.4,23.4,3.03935,0.4,0.79437,0.79496,0.29143,0.78759,0.05,0.00172,0.00136,119.22176,0.0528,0.0528,0.4,0.31667,0.31667,0.9832,0.54281,0.98852,0.68759,53430879.37245,53391667.5351,39211.83735,0.143,0.15597,0.5796,0.11385,0.12375,0.14349
Germany,DEU,0.53565,3,40,1,0.27302,0.56982,0.51403,0.93557,1,0.9,17775.28818,49160.78646,343362.56997,12.02455,969802457.98894,0,0,0,15.90689,0,0,15.91017,0.07486,0.08744,0.07172,0.07208,0.8,42883.68681,1.5,0.00001,0.05167,DEU,1.21269,0.12885,Germany,0.16797,0.16797,0.2,0.96242,80651873,0.2,0.73333,106.88,106.88,0.53683,1,0.75578,0.75593,0.63856,0.73149,0.05,0.00037,0.00028,389.29933,0.0829,0.0829,0.8,0.40833,0.40833,0.64379,0.38332,0.78924,0.63513,1283184912.31221,1282920697.59997,264214.71223,0.053,0.13339,0.1722,0.10542,0.1255,0.11205
Ghana,GHA,0.53565,3,40,1,0.40794,0.04551,0.24018,0.66107,0.684,0.43333,1012.37607,4576.94447,30938.65385,13.39123,346894432.16809,0,0,0,22.58324,0,0.00027,24.0548,0.02298,0.02826,0.02166,0.02594,0.6,3864.03079,1.5,0.00146,0.1826,GHA,1.34135,0.36187,Ghana,0.23,0.23,0.2,0.83714,25904598,0.2,0.8,8.16,8.16,0.00934,0.26667,0.5567,0.59297,0.56668,0.57791,0.05,0.00623,0.00347,49.84955,0.0524,0.0524,0.8,0.30833,0.30833,0.17479,0.14085,0.42923,0.40575,623129884.49232,585009686.21863,38120198.27369,0.046,0.62417,0.5292,0.52395,0.62375,0.5243
Greece,GRC,0.53565,3,40,1,0.23679,0.12937,0.24796,0.86807,1,0.5,7838.38172,28421.72908,194606.58239,9.98052,110060711.39899,0,0,0,16.60269,0,0.00003,16.93535,0.01725,0.02015,0.01653,0.0176,0.8,24305.05961,1.5,0.00019,0.15359,GRC,1.17814,0.26387,Greece,0.16797,0.16797,0.2,0.94417,11027549,0.2,0.86667,25.34,25.34,2.60007,0.2,0.58933,0.60114,0.37299,0.49933,0.05,0.0007,0.00041,127.12048,0.0645,0.0645,0.8,0.34167,0.34167,0.38459,0.49652,0.59486,0.66854,186755366.75351,183086942.77118,3668423.98232,0.273,0.175,0.5292,0.11487,0.13675,0.147
Guatemala,GTM,0.53565,3,40,1,0.64756,0.05336,0.13478,0.50737,0.523,0.53333,1366.59969,8486.51342,56548.51211,4.50827,69734794.48162,0,0,0,15.16713,0,0.00027,17.91765,0.03108,0.0363,0.02977,0.03233,0.6,7062.53067,1.5,0.00094,0.28445,GTM,1.56988,0.50825,Guatemala,0.16797,0.16797,0.2,0.66728,15468203,0.2,0.6,8.04,8.04,3.2118,0.46667,0.25161,0.29724,0.21003,0.24641,0.05,0.00254,0.00064,49.2347,0.0387,0.0387,0.8,0.28333,0.28333,0.21925,0.10472,0.44046,0.35838,277153829.73508,234608322.27114,42545507.46395,0.028,0.13177,0.4662,0.09324,0.111,0.11069
Guinea,GIN,0.53565,3,40,1,0.35107,0.01278,0.02542,0.44429,0.453,0,457.86527,1401.64385,9711.39418,9.98825,117313877.49816,0,0.00001,0.00001,20.85794,0.00001,0.0012,25.82252,0.01927,0.04086,0.01388,0.02161,0,1212.88813,1.5,0.00364,0.3293,GIN,1.28712,0.56441,Guinea,1.12,1.12,0.2,0.58581,11745189,0.2,0,3.41,3.41,0.01692,0,0.3868,0.47887,0.47424,0.47887,0.05,0.02129,0.00824,23.55531,0.0755,0.0755,0,0,0,0.03393,0.08135,0.03393,0.08135,303290365.58323,244980415.11986,58309950.46337,0.018,0.61952,0.63,0.617,0.617,0.61952
Honduras,HND,0.53565,3,40,1,0.36359,0.04311,0.11806,0.68521,0.829,0.5375,580.10787,5411.56185,35592.54828,17.59903,142511433.89824,0,0,0,24.36276,0,0.00034,26.8261,0.04013,0.01364,0.04675,0.04325,0.8,4445.27105,1.5,0.00156,0.22008,HND,1.29906,0.45858,Honduras,-0.66,-0.66,0.2,0.69655,8097688,0.2,0.33333,7.2,7.2,1.56612,0.275,0.65604,0.72237,0.63588,0.68637,0.05,0.00603,0.00396,44.85997,0.0261,0.0261,0.4,0.21771,0.21771,0.25797,0.13477,0.41952,0.32314,217229418.1228,197282046.49514,19947371.62765,0.042,0.24551,0.5796,0.2231,0.2425,0.22587
Hungary,HUN,0.53565,3,40,1,0.22127,0.09189,0.22393,0.85803,0.991,0.65,9366.47741,26041.64552,181808.0766,31.8204,314827845.26812,0,0,0,38.93086,0,0.00002,38.97521,0.10368,0.1211,0.09933,0.09878,0.8,22706.6119,1.5,0.00019,0.08775,HUN,1.16334,0.27493,Hungary,0.16797,0.16797,0.2,0.98072,9893899,0.2,1,100,100,0.64364,0.5,0.81643,0.81736,0.61208,0.80557,0.05,0.00172,0.0014,370.67677,0.0825,0.0825,1,0.4125,0.4125,0.91233,0.52571,0.9485,0.72135,385616761.13372,385178028.2539,438732.87983,0.102,0.3833,0.504,0.285,0.35625,0.30664
India,IND,0.53565,3,40,1,0.45253,0.10609,0.12272,0.47044,0.523,0.675,2239.16966,5995.15391,41987.49471,3.7516,4697521346.81866,0,0,0,6.08832,0,0.00102,6.71315,0.08996,0.10507,0.08618,0.0848,0.8,5243.95706,1.5,0.00322,0.31728,IND,1.38388,0.58213,India,0.16797,0.16797,0.2,0.61373,1252139596,0.2,0.73333,100,100,0.4351,0.55,0.55884,0.6162,0.56132,0.57546,0.05,0.00128,0.00072,370.67677,0.0854,0.0854,0.8,0.35208,0.35208,0.10473,0.1272,0.41994,0.4345,8405806259.7333,7623424271.45785,782381988.27545,0.036,0.43899,0.5292,0.35049,0.41725,0.36875
Indonesia,IDN,0.53565,3,40,1,0.30998,0.07181,0.20722,0.68644,0.831,0.56667,3530.56206,10685.38721,74098.62397,2.05393,513206239.15377,0,0,0,3.0451,0,0.00002,3.06807,0.06562,0.08728,0.06021,0.06449,0.6,9254.42218,1.5,0.00013,0.16227,IDN,1.24793,0.45813,Indonesia,0.33,0.33,0.2,0.88975,249865631,0.2,0.66667,100,100,0.03557,0.53333,0.66945,0.6745,0.66381,0.66747,0.05,0.00033,0.00022,370.67677,0.0763,0.0763,0.6,0.30833,0.30833,0.118,0.12979,0.38995,0.3981,766604031.5547,760866907.98205,5737123.57265,0.063,0.12553,0.1144,0.11,0.125,0.11047
"Iran, Islamic Rep.",IRN,0.53565,3,40,1,0.318,0.12119,0.24928,0.72145,0.964,0.4,4851.45018,17649.69648,120823.5061,32.63066,2527151896.48588,0,0,0,51.42295,0,0.00014,52.77701,0.04149,0.04846,0.03975,0.04368,0.8,15090.04722,1.5,0.00092,0.1496,IRN,1.25558,0.5211,"Iran, Islamic Rep.",0.16797,0.16797,0.2,0.96176,77447168,0.2,0.6,17.79,17.79,0.90971,0,0.61827,0.63455,0.50099,0.60025,0.05,0.0035,0.00216,95.41176,0.0643,0.0643,0.4,0.25,0.25,0.46643,0.26036,0.59982,0.44527,4087430124.75436,3982561719.86895,104868404.88542,0.132,0.32989,0.5796,0.28037,0.30475,0.3035
Iraq,IRQ,0.53565,3,40,1,0.58409,0.02929,0.07414,0.77185,0.909,0,6367.44826,16497.47958,115870.68742,105.22519,3516360149.42612,0,0,0,190.34184,0,0.00489,220.15272,0.23243,0.27147,0.22267,0.24087,0,14471.47332,1.5,0.03005,0.16288,IRQ,1.50935,0.36531,Iraq,0.16797,0.16797,0.2,0.89951,33417476,0.2,0,27.69,27.69,0.21585,0,0.47796,0.55282,0.54278,0.55282,0.05,0.01521,0.00727,136.51068,0.088,0.088,0,0,0,0.13105,0.08987,0.13105,0.08987,7356948206.45171,6360743722.06337,996204484.38834,0.16,0.51816,0.63,0.505,0.505,0.51816
Ireland,IRL,0.53565,3,40,1,0.31125,0.49514,0.52417,0.91581,1,0.35,17010.59688,51556.39567,357483.01523,3.47796,15990109.80765,0,0,0,4.88723,0,0,4.89106,0.03898,0.04553,0.03734,0.03556,0,44647.23591,1.5,0.00002,0.07227,IRL,1.24915,0.16839,Ireland,0.16797,0.16797,0.2,0.99838,4597558,0.2,0,200,200,0.01778,0.7,0.71108,0.71164,0.69666,0.71113,0.05,0.00011,0.00008,619.00314,0.0762,0.0762,0,0.0875,0.0875,0.78696,0.48333,0.8056,0.52854,22486932.69406,22469310.23553,17622.45854,0.131,0.12773,0.13,0.1275,0.1275,0.12773
Italy,ITA,0.53565,3,40,1,0.20461,0.11888,0.17878,0.90496,0.99,0.7,10295.8004,39830.49967,271620.31878,14.79312,891047967.22476,0,0,0,22.72773,0,0.00002,22.83494,0.04794,0.05599,0.04593,0.04766,0.8,33923.55982,1.5,0.00023,0.07456,ITA,1.14745,0.18008,Italy,0.16797,0.16797,0.2,0.99335,60233948,0.2,0.86667,62.59,62.59,2.20001,0.6,0.64783,0.65088,0.40763,0.54584,0.05,0.00067,0.00044,259.87016,0.0607,0.0607,1,0.39167,0.39167,0.43236,0.41381,0.65469,0.6434,1375438625.7315,1368980791.92016,6457833.81134,0.122,0.15,0.384,0.0992,0.124,0.12
Jamaica,JAM,0.53565,3,40,1,0.38101,0.29451,0.31051,0.86867,0.991,0.4,2302.50587,10183.74674,68918.81383,2.57535,6991391.70246,0,0,0,5.0281,0,0,5.19887,0.00026,0.00031,0.00025,0.0006,0.6,8607.49856,1.5,0.00001,0.14018,JAM,1.31567,0.25365,Jamaica,0.16797,0.16797,0.2,0.86079,2714734,0.2,0.6,0.5,0.5,1.3553,0.2,0.49537,0.51219,0.40952,0.46557,0.05,0.0006,0.0003,4.18293,0.0535,0.0535,0.8,0.25,0.25,0.26652,0.14743,0.44989,0.36057,14113542.22206,13649943.32389,463598.89817,0.15,0.26748,0.5292,0.2037,0.2425,0.22468
Japan,JPN,0.53565,3,40,1,0.21044,0.45612,0.5514,0.92711,0.998,0.80833,13123.87324,41236.91922,285157.87534,7.01018,892666937.96373,0,0,0,9.1565,0,0,9.15772,0.08136,0.09502,0.07794,0.0732,0.8,35614.31002,1.5,0.00002,0.03817,JPN,1.15301,0.14378,Japan,0.16797,0.16797,0.2,0.99838,127338621,0.2,0.8,200,200,0.04392,0.81667,0.76549,0.7656,0.74324,0.75956,0.05,0.00026,0.0002,619.00314,0.0737,0.0737,0.8,0.40208,0.40208,0.51838,0.34741,0.71203,0.60981,1166131471.2819,1165976090.11268,155381.16921,0.04,0.12453,0.1092,0.10416,0.124,0.10461
Jordan,JOR,0.53565,3,40,1,0.17572,0.01291,0.126,0.88044,0.996,0.4875,4693.05004,13082.66106,91315.85309,4.55306,29412781.33203,0,0,0,9.02862,0,0.00002,9.18816,0.00348,0.00888,0.00213,0.00399,0.6,11404.73886,1.5,0.00022,0.08886,JOR,1.1199,0.23512,Jordan,1.55,1.55,0.2,0.97899,6460000,0.2,0.4,16.64,16.64,0.27666,0.375,0.49554,0.50429,0.42398,0.47112,0.05,0.00081,0.0004,90.34444,0.0823,0.0823,0.6,0.22188,0.22188,0.24754,0.20255,0.41449,0.37948,59355538.1824,58324913.82426,1030624.35814,0.126,0.49347,0.5544,0.3894,0.4425,0.43426
Kazakhstan,KAZ,0.53565,3,40,1,0.33057,0.04958,0.07945,0.76782,0.999,0.80833,10616.92334,25432.86794,179910.99434,24.28305,413668493.63424,0,0,0,35.17474,0,0.00002,35.43304,0.05005,0.05846,0.04795,0.05317,1,22469.67902,1.5,0.00016,0.09714,KAZ,1.26757,0.46336,Kazakhstan,0.16797,0.16797,0.2,0.99276,17035275,0.2,0.6,15.47,15.47,1.26901,0.61667,0.68532,0.69035,0.54594,0.61807,0.05,0.00158,0.00108,85.10109,0.0945,0.0945,0.8,0.35208,0.35208,0.30312,0.16584,0.54848,0.45954,603611593.61024,599211344.45509,4400249.15515,0.052,0.13442,0.2562,0.09468,0.11272,0.11291
Kenya,KEN,0.53565,3,40,1,0.46296,0.10053,0.32159,0.49579,0.438,0.375,654.68822,3217.98197,21661.07445,16.42662,728581227.35439,0,0,0,37.01478,0,0.00035,42.2429,0.01549,0.0254,0.01301,0.01882,0.4,2705.32322,1.5,0.00127,0.2733,KEN,1.39383,0.44643,Kenya,0.64,0.64,0.2,0.77631,44353691,0.2,0.46667,2.1,2.1,0.22024,0.35,0.38886,0.44379,0.42061,0.42594,0.05,0.01561,0.00607,15.48923,0.0484,0.0484,0.8,0.21042,0.21042,0.05487,0.07183,0.25374,0.26714,1873628719.91419,1641742134.25394,231886585.66025,0.092,0.51629,0.5292,0.4242,0.505,0.43368
Kyrgyz Republic,KGZ,0.53565,3,40,1,0.52023,0.0019,0.01364,0.81368,0.991,0.3,1194.16813,3588.724,24899.7557,11.43576,65407973.01571,0,0,0,17.94234,0,0.00001,18.11109,0.0324,0.03791,0.03103,0.05226,0.6,3109.81283,1.5,0.00015,0.0986,KGZ,1.44844,0.36365,Kyrgyz Republic,0.17,0.17,0.2,0.97054,5719600,0.2,0.6,3.11,3.11,1.94035,0,0.63142,0.63736,0.38186,0.60653,0.05,0.00582,0.00368,21.7566,0.0768,0.0768,0.6,0.225,0.225,0.72176,0.4622,0.78436,0.5832,103588217.76185,102622993.60816,965224.15369,0.08,0.21426,0.5544,0.15136,0.172,0.18855
Lao PDR,LAO,0.53565,3,40,1,0.2473,0.13251,0.23853,0.50755,0.415,0,1778.25656,5389.61093,37370.61799,62.20357,421101203.91683,0,0,0,103.85958,0,0.00071,109.50286,0.16318,0.19059,0.15633,0.18583,0,4667.34006,1.5,0.00275,0.25769,LAO,1.18816,0.3999,Lao PDR,0.16797,0.16797,0.2,0.73337,6769727,0.2,0,6.82,6.82,0.80312,0,0.56805,0.59892,0.59112,0.59892,0.05,0.02346,0.01333,42.8585,0.0762,0.0762,0,0,0,0.03728,0.13348,0.03728,0.13348,741304465.3721,703100976.8624,38203488.5097,0.014,0.14142,0.255,0.13,0.13,0.14142
Latvia,LVA,0.53565,3,40,1,0.23937,0.08002,0.16866,0.81758,1,0.35,6811.76207,25587.77291,174809.77399,11.34045,22824329.0866,0,0,0,17.02116,0,0.00004,17.18069,0.06016,0.07026,0.05763,0.05813,0,21832.57074,1.5,0.00029,0.13018,LVA,1.1806,0.36484,Latvia,0.16797,0.16797,0.2,0.90287,2012647,0.2,0,59.74,59.74,1.3988,0.7,0.66007,0.66626,0.48262,0.65359,0.05,0.00079,0.00052,250.75735,0.0624,0.0624,0,0.0875,0.0875,0.61632,0.23029,0.64989,0.29764,34578659.71316,34257579.5583,321080.15487,0.111,0.12715,0.305,0.11272,0.11272,0.12715
Lesotho,LSO,0.53565,3,40,1,0.19921,0.02873,0.11368,0.73526,0.615,0.4,354.09315,3028.49388,19965.95172,13.61846,28251022.39312,0,0,0,20.85365,0,0.00101,23.69678,0.02243,0.01996,0.02304,0.02291,0.4,2493.61373,1.5,0.00321,0.31473,LSO,1.1423,0.14448,Lesotho,-0.11,-0.11,0.2,0.56754,2074465,0.2,0.26667,10.34,10.34,0.13136,0.4,0.5747,0.65305,0.62237,0.62613,0.05,0.0095,0.00546,60.78899,0.0284,0.0284,0.6,0.16667,0.16667,0.01328,0.03183,0.17773,0.19319,49158136.91864,43260162.3534,5897974.56524,0.247,0.55685,0.5544,0.4884,0.555,0.49003
Liberia,LBR,0.53565,3,40,1,0.47251,0.04496,0.20075,0.67531,0.611,0,273.64556,993.87727,6804.4553,10.55831,45338182.97984,0,0.00001,0.00001,15.02727,0.00001,0.00163,17.69941,0.05528,0.03151,0.06122,0.06371,0,849.83092,1.5,0.00717,0.22801,LBR,1.40294,0.26038,Liberia,-0.43,-0.43,0.2,0.67766,4294077,0.2,0,6.06,6.06,0.05032,0,0.59653,0.70261,0.69283,0.70261,0.05,0.02083,0.01242,38.78969,0.0644,0.0644,0,0,0,0.04504,0.12573,0.04504,0.12573,76002628.84274,64528267.92017,11474360.92258,0.037,0.59982,0.63,0.59875,0.59875,0.59982
Lithuania,LTU,0.53565,3,40,1,0.31296,0.13166,0.25531,0.83684,1,0.34167,8601.07231,28436.76005,195924.21019,18.86544,55798114.80198,0,0,0,25.79296,0,0.00002,25.92214,0.08076,0.09432,0.07737,0.08022,0,24469.6225,1.5,0.00022,0.10206,LTU,1.25078,0.32632,Lithuania,0.16797,0.16797,0.2,0.975,2957689,0.2,0,49.75,49.75,1.81406,0.68333,0.72777,0.73142,0.43467,0.72199,0.05,0.00106,0.00077,217.6939,0.0703,0.0703,0,0.08542,0.08542,0.8109,0.31471,0.82705,0.37324,76669637.81942,76287554.08913,382083.73029,0.118,0.1528,0.43,0.12725,0.12725,0.1528
"Macedonia, FYR",MKD,0.53565,3,40,1,0.26393,0.04312,0.10108,0.83598,0.983,0.525,3140.22611,13726.15469,92951.08973,25.48991,53711277.33329,0,0,0,43.60475,0,0.00014,44.36023,0.11821,0.13807,0.11325,0.1206,0.6,11608.96897,1.5,0.00086,0.1597,MKD,1.20402,0.31104,"Macedonia, FYR",0.16797,0.16797,0.2,0.97493,2107158,0.2,0.66667,24.46,24.46,2.23689,0.45,0.57461,0.58457,0.37147,0.5172,0.05,0.00382,0.0022,123.56241,0.0541,0.0541,0.6,0.29792,0.29792,0.49035,0.30044,0.64218,0.50885,93474011.13168,91882107.97729,1591903.15439,0.29,0.14057,0.4004,0.1044,0.11864,0.1237
Madagascar,MDG,0.53565,3,40,1,0.29407,0.00468,0.0199,0.57122,0.443,0.2,444.80553,1599.58913,10958.4128,20.18439,462724199.45602,0,0.00001,0.00001,30.6522,0.00001,0.0005,34.34209,0.03401,0.02857,0.03537,0.05064,0.4,1368.63241,1.5,0.00139,0.36169,MDG,1.23277,0.30055,Madagascar,-0.16,-0.16,0.2,0.3797,22924851,0.2,0.66667,2.18,2.18,0.95483,0,0.58775,0.6585,0.60023,0.61639,0.05,0.02509,0.01475,15.99897,0.065,0.065,0.8,0.21667,0.21667,0.07555,0.10542,0.27585,0.29924,787287260.41207,702697141.17033,84590119.24174,0.036,0.32228,0.5292,0.2562,0.305,0.27071
Malawi,MWI,0.53565,3,40,1,0.25308,0.05032,0.10418,0.7986,0.714,0.3,204.22262,892.67181,6045.0155,4.94433,80901933.7938,0,0.00001,0.00001,8.68203,0,0.0002,9.30117,0.01758,0.01934,0.01714,0.02283,0.6,754.98198,1.5,0.00088,0.22669,MWI,1.19367,0.1168,Malawi,0.1,0.1,0.2,0.59733,16362567,0.2,0.66667,2.84,2.84,0.94025,0,0.53158,0.56949,0.51007,0.51701,0.05,0.01232,0.00655,20.11432,0.0541,0.0541,0.8,0.24167,0.24167,0.03189,0.03963,0.26585,0.27172,152190998.64902,142060278.01578,10130720.63324,0.076,0.3247,0.5292,0.2562,0.305,0.27275
Malaysia,MYS,0.53565,3,40,1,0.25059,0.24764,0.42786,0.81284,0.9868,0.75,5127.78732,26954.76748,180869.35176,27.69676,823063786.6636,0,0,0,47.8549,0,0.00003,48.10669,0.10686,0.12482,0.10238,0.10812,0.8,22589.37145,1.5,0.00044,0.07599,MYS,1.1913,0.36113,Malaysia,0.16797,0.16797,0.2,0.9912,29716965,0.2,0.8,34.87,34.87,0.96873,0.7,0.57574,0.57877,0.48463,0.51042,0.05,0.00213,0.00123,164.24172,0.0454,0.0454,1,0.3875,0.3875,0.14714,0.05773,0.47762,0.42286,1429584944.04406,1422102450.52348,7482493.52058,0.032,0.12953,0.204,0.0978,0.12225,0.10362
Mali,MLI,0.53565,3,40,1,0.64384,0.02605,0.05731,0.49311,0.587,0.2,633.28319,1828.13839,12724.19947,3.5707,54637651.61244,0,0,0,7.31874,0,0.00047,8.57939,0.07109,0.04336,0.07802,0.09112,0.4,1589.16735,1.5,0.00146,0.32432,MLI,1.56633,0.60079,Mali,-0.39,-0.39,0.2,0.61593,15301650,0.2,0.6,6.97,6.97,3.13779,0,0.4162,0.48788,0.43752,0.44281,0.05,0.0054,0.00225,43.65114,0.0797,0.0797,0.6,0.2,0.2,0.02463,0.053,0.21971,0.2424,131278849.58088,111988830.52534,19290019.05554,0.082,0.15226,0.5544,0.11375,0.12926,0.13398
Mauritania,MRT,0.53565,3,40,1,0.23811,0.03012,0.08601,0.59396,0.651,0.3,886.5141,3459.90844,23581.96483,33.29521,129514375.91952,0,0.00001,0.00001,76.83458,0.00001,0.00054,85.30861,0.04131,0.04825,0.03958,0.06939,0.6,2945.22957,1.5,0.0015,0.35825,MRT,1.17939,0.46309,Mauritania,0.16797,0.16797,0.2,0.64128,3889880,0.2,0.66667,2.17,2.17,2.80591,0,0.39029,0.43334,0.3468,0.36303,0.05,0.02897,0.0113,15.93554,0.0602,0.0602,0.6,0.24167,0.24167,0.06195,0.11887,0.28865,0.33181,331840239.83394,298877302.52242,32962937.31153,0.31,0.16553,0.5544,0.11375,0.12926,0.14567
Mexico,MEX,0.53565,3,40,1,0.36826,0.02801,0.09345,0.75926,0.96,0.73333,3958.66752,19373.84915,130437.83717,21.79005,2665628571.49324,0,0,0,36.17576,0,0.00012,36.77001,0.06063,0.07082,0.05809,0.0611,0.8,16290.81282,1.5,0.00111,0.11074,MEX,1.30352,0.44147,Mexico,0.16797,0.16797,0.2,0.95753,122332399,0.2,0.8,39.44,39.44,0.59918,0.66667,0.5926,0.60234,0.48796,0.56953,0.05,0.00226,0.00134,181.19695,0.0486,0.0486,0.8,0.38333,0.38333,0.53402,0.25477,0.71265,0.54044,4498163315.34125,4425467654.91406,72695660.42719,0.049,0.39395,0.5292,0.31857,0.37925,0.33092
Moldova,MDA,0.53565,3,40,1,0.2567,0.00716,0.05443,0.77311,0.992,0.325,1919.20052,5171.55593,36199.57674,36.4472,129699779.90585,0,0,0,41.69928,0,0.00014,42.40174,0.05911,0.02837,0.06679,0.06282,0.4,4521.08484,1.5,0.00126,0.11057,MDA,1.19713,0.44579,Moldova,-0.52,-0.52,0.2,0.94617,3558566,0.2,0.6,10.45,10.45,0.62861,0.25,0.85957,0.87405,0.78652,0.85462,0.05,0.00938,0.00806,61.32568,0.0849,0.0849,0.6,0.23125,0.23125,0.46588,0.33757,0.58939,0.49075,150889397.70292,148389633.61326,2499764.08966,0.051,0.38683,0.5544,0.33198,0.37725,0.34041
Mongolia,MNG,0.53565,3,40,1,0.20767,0.11909,0.30408,0.80893,0.988,0.56667,3241.96852,10604.89,73120.85759,27.43714,77896054.69924,0,0,0,41.13954,0,0.00002,41.45906,0.03423,0.03998,0.03279,0.04711,0.8,9132.3057,1.5,0.00017,0.11036,MNG,1.15037,0.37013,Mongolia,0.16797,0.16797,0.2,0.90897,2839073,0.2,0.53333,6.34,6.34,1.36241,0.33333,0.66179,0.66693,0.52252,0.60712,0.05,0.00454,0.003,40.30196,0.071,0.071,0.4,0.275,0.275,0.32451,0.18659,0.51027,0.41028,117705292.45321,116798156.83313,907135.62009,0.049,0.12911,0.2806,0.1037,0.11272,0.11878
Montenegro,MNE,0.53565,3,40,1,0.3649,0.02271,0.04095,0.78666,1,0.1875,5837.51071,16230.0487,113309.04324,108.46673,67399383.11451,0,0,0,167.44905,0,0.00083,179.3391,0.08499,0.09926,0.08142,0.10631,0,14151.5411,1.5,0.00408,0.20212,MNE,1.30031,0.42669,Montenegro,0.16797,0.16797,0.2,0.80499,621383,0.2,0,11.45,11.45,0.63068,0.375,0.60481,0.64776,0.55636,0.64295,0.05,0.01267,0.00766,66.19417,0.0825,0.0825,0,0.04688,0.04688,0.49318,0.30518,0.51694,0.33775,111438268.38291,104049991.76653,7388276.61638,0.198,0.38634,0.63,0.35963,0.35963,0.38634
Morocco,MAR,0.53565,3,40,1,0.26926,0.05142,0.17255,0.57621,0.736,0.56667,2271.32651,8141.24243,55785.68958,24.38252,804821880.78047,0,0,0,32.369,0,0.00032,33.75908,0.05349,0.04065,0.05669,0.05625,0.6,6967.25925,1.5,0.00155,0.20775,MAR,1.2091,0.58358,Morocco,-0.24,-0.24,0.2,0.89254,33008150,0.2,0.46667,18.87,18.87,0.73507,0.53333,0.72225,0.75327,0.65825,0.71747,0.05,0.00485,0.0035,100.10171,0.0652,0.0652,0.6,0.25833,0.25833,0.33262,0.17159,0.50503,0.38559,1114324712.95251,1068440906.29618,45883806.65633,0.092,0.3631,0.5544,0.30778,0.34975,0.31953
Nepal,NPL,0.53565,3,40,1,0.2702,0.05736,0.12678,0.44923,0.36,0.3,898.44883,2491.37578,17397.17241,52.12113,1448834812.43235,0,0.00001,0.00001,60.66954,0.00001,0.00031,63.98855,0.046,0.01794,0.05301,0.05838,0.6,2172.79039,1.5,0.00094,0.32472,NPL,1.21,0.46155,Nepal,-0.61,-0.61,0.2,0.6036,27797457,0.2,0.46667,2.33,2.33,0.83955,0,0.81454,0.8591,0.79743,0.83732,0.05,0.02945,0.02399,16.94809,0.0827,0.0827,0.6,0.19167,0.19167,0.19572,0.35894,0.34988,0.48181,1778718858.23045,1686459003.7077,92259854.52275,0.027,0.34248,0.5544,0.29366,0.3337,0.30138
